loan_id,customer_name,branch_code,loan_type,disbursement_date,principal_amount,interest_rate,tenure_months,emi_amount,emi_paid_count,status,overdue_days
HFL202400025,Customer_25,DEL03,LAP,2024-02-15,4541481.47,9.32,60,94980.57,50,WRITTEN_OFF,0
HFL202400026,Customer_26,DEL03,TOP_UP,2024-12-14,4799392.91,13.48,240,57877.6,14,OPEN,0
HFL202300027,Customer_27,CHN05,HOME_LOAN,2023-03-04,3815485.13,8.79,240,33815.29,130,OPEN,0
HFL202300028,Customer_28,CHN05,HOME_LOAN,2023-03-12,3096665.0,11.88,120,44213.6,76,OPEN,0
HFL202400029,Customer_29,HYD06,LAP,2024-03-05,3389653.87,11.33,180,39232.01,61,OVERDUE,53
HFL202400030,Customer_30,CHN05,HOME_LOAN,2024-11-18,3333853.71,10.79,60,72137.4,6,OPEN,0
HFL202400031,Customer_31,DEL03,TOP_UP,2024-06-02,1546441.95,13.17,60,35321.03,53,OVERDUE,95
HFL202400032,Customer_32,CHN05,HOME_LOAN,2024-09-18,4924110.56,12.54,60,110882.54,42,CLOSED,0
HFL202300033,Customer_33,CHN05,HOME_LOAN,2023-05-18,1542989.83,12.95,120,22993.01,43,OPEN,0
HFL202500034,Customer_34,BLR04,HOME_LOAN,2025-05-23,1540724.34,10.94,60,33453.0,2,OPEN,0
HFL202300035,Customer_35,BLR04,HOME_LOAN,2023-05-14,3294432.87,9.81,240,31378.39,28,CLOSED,0
HFL202400036,Customer_36,PUN02,LAP,2024-12-08,4548464.29,11.23,180,52356.52,10,CLOSED,0
HFL202500037,Customer_37,PUN02,TOP_UP,2025-03-26,4869322.45,8.7,180,48522.71,90,OPEN,0
HFL202400038,Customer_38,blr04,LAP,2024-02-21,4877034.01,12.25,120,70677.91,94,OVERDUE,46
HFL202400039,Customer_39,HYD06,HOME_LOAN,2024-02-26,4070505.15,12.82,120,60345.62,111,OPEN,0
HFL202300040,Customer_40,PUN02,HOME_LOAN,2023-08-16,1237992.3,13.09,180,15736.99,168,OPEN,0
HFL202300041,Customer_41,CHN05,LAP,2023-10-13,4362458.83,13.33,180,56146.29,137,OPEN,0
HFL202300042,Customer_42,CHN05,LAP,2023-04-29,4422080.53,9.81,180,47007.22,80,OPEN,0
HFL202400043,Customer_43,HYD06,TOP_UP,2024-06-07,843535.18,13.0,120,12594.89,66,OPEN,0
HFL202500044,Customer_44,HYD06,LAP,2025-01-29,3764077.16,9.49,240,35061.56,159,OPEN,0
HFL202300045,Customer_45,DEL03,TOP_UP,2023-05-08,3682845.04,10.0,180,39576.04,75,CLOSED,0
HFL202400046,Customer_46,DEL03,HOME_LOAN,2024-03-06,3425168.34,10.4,120,46025.93,106,CLOSED,0
HFL202300047,Customer_47,BLR04,LAP,2023-08-04,2320474.3,11.4,180,26960.2,130,OPEN,0
HFL202500048,Customer_48,HYD06,HOME_LOAN,2025-03-26,3759018.8,11.79,180,44607.93,23,OPEN,0
HFL202300049,Customer_49,BLR04,HOME_LOAN,2023-08-19,4090845.6,9.24,60,85396.52,49,OPEN,0
HFL202400050,Customer_50,PUN02,HOME_LOAN,2024-10-06,3005653.23,12.09,240,33283.61,176,OPEN,0
HFL202500051,Customer_51,HYD06,TOP_UP,2025-05-31,3919217.09,9.03,240,35337.87,12,OPEN,0
HFL202500052,Customer_52,CHN05,LAP,2025-05-18,870385.42,9.17,240,7926.5,193,CLOSED,0
HFL202500053,Customer_53,BLR04,TOP_UP,2025-01-06,4492495.39,10.63,240,45245.16,63,OVERDUE,122
HFL202500054,Customer_54,HYD06,LAP,2025-03-07,2750109.12,11.63,180,32354.14,69,OPEN,0
HFL202400055,Customer_55,HYD06,LAP,2024-07-07,678714.99,9.25,240,6216.13,106,CLOSED,0
HFL202400056,Customer_56,CHN05,TOP_UP,2024-04-22,2254138.9,9.53,240,21055.71,5,OPEN,0
HFL202300057,Customer_57,CHN05,TOP_UP,2023-01-07,4730885.79,9.99,240,45622.73,139,OVERDUE,108
HFL202400058,Customer_58,HYD06,TOP_UP,2024-05-14,1331281.68,10.68,60,28733.29,25,OPEN,0
HFL202400059,Customer_59,CHN05,TOP_UP,2024-04-23,4621845.62,13.4,60,106110.0,5,OVERDUE,152
HFL202500060,Customer_60,BLR04,LAP,2025-06-06,2469982.69,8.75,240,21827.5,194,OPEN,0
HFL202500061,Customer_61,CHN05,HOME_LOAN,2025-05-01,2281354.69,12.67,240,26193.3,89,OPEN,0
HFL202500062,Customer_62,MUM01,HOME_LOAN,2025-03-10,4799242.33,8.7,60,98927.06,15,OVERDUE,52
HFL202300063,Customer_63,PUN02,HOME_LOAN,2023-04-28,2950657.04,9.59,180,30971.93,29,CLOSED,0
HFL202300064,Customer_64,HYD06,TOP_UP,2023-04-21,3019818.24,13.14,240,35681.07,151,OPEN,0
HFL202300065,Customer_65,CHN05,TOP_UP,2023-09-06,778936.14,12.36,60,17469.04,22,CLOSED,0
HFL202400066,Customer_66,MUM01,TOP_UP,2024-01-15,624096.66,11.74,60,13800.83,23,OVERDUE,126
HFL202400067,Customer_67,CHN05,LAP,2024-04-15,3624350.63,10.68,180,40468.92,119,CLOSED,0
HFL202400068,Customer_68,BLR04,TOP_UP,2024-08-29,1561459.03,12.76,60,35336.45,29,OPEN,0
HFL202400069,Customer_69,PUN02,LAP,2024-01-24,1881064.11,10.97,180,21344.69,66,OPEN,0
HFL202400070,Customer_70,PUN02,LAP,2024-09-02,3595563.63,9.88,60,76182.97,46,OPEN,0
HFL202500071,Customer_71,MUM01,LAP,2025-02-15,1429522.5,10.88,240,14638.8,56,OPEN,0
HFL202300072,Customer_72,HYD06,TOP_UP,2023-11-10,3420612.1,10.35,180,37493.94,90,OPEN,0
HFL202300073,Customer_73,HYD06,TOP_UP,2023-11-10,1481597.28,9.1,120,18848.53,97,OPEN,0
HFL202300074,Customer_74,PUN02,HOME_LOAN,2023-08-10,3771441.87,9.88,180,40251.69,92,WRITTEN_OFF,0
HFL202400075,Customer_75,HYD06,LAP,2024-12-26,2810434.92,9.87,60,59533.82,40,CLOSED,0
HFL202300076,Customer_76,MUM01,LAP,2023-01-13,2998101.83,10.85,240,30640.59,220,OPEN,0
HFL202300077,Customer_77,CHN05,HOME_LOAN,2023-03-08,2183324.98,8.87,60,45184.61,5,OPEN,0
HFL202500078,Customer_78,BLR04,LAP,2025-02-21,2256017.9,11.48,120,31692.78,56,CLOSED,0
HFL202400079,Customer_79,HYD06,HOME_LOAN,2024-03-15,1735287.15,11.61,60,38259.39,42,OVERDUE,54
HFL202300080,Customer_80,CHN05,HOME_LOAN,2023-06-27,2894363.55,9.28,240,26564.82,8,OPEN,0
HFL202300081,Customer_81,CHN05,HOME_LOAN,2023-10-17,3604041.52,10.77,120,49177.62,119,OVERDUE,161
HFL202400082,Customer_82,MUM01,TOP_UP,2024-07-11,1356604.42,9.24,180,13953.94,78,OVERDUE,19
HFL202400083,Customer_83,HYD06,TOP_UP,2024-08-05,4629604.89,10.7,240,46844.67,69,CLOSED,0
HFL202400084,Customer_84,CHN05,HOME_LOAN,2024-03-24,678076.7,8.7,240,5970.62,23,CLOSED,0
HFL202500085,Customer_85,HYD06,HOME_LOAN,2025-05-06,4344429.3,11.44,60,95414.52,36,WRITTEN_OFF,0
HFL202300086,Customer_86,CHN05,HOME_LOAN,2023-06-29,2511353.87,11.76,180,29753.79,125,OPEN,0
HFL202400087,Customer_87,HYD06,LAP,2024-02-23,1866549.45,11.85,120,26617.96,84,OPEN,0
HFL202400088,Customer_88,BLR04,TOP_UP,2024-07-17,472476.51,8.94,180,4775.32,0,OPEN,0
HFL202400089,Customer_89,BLR04,HOME_LOAN,2024-04-18,2242263.58,9.44,180,23333.16,13,CLOSED,0
HFL202300090,Customer_90,HYD06,TOP_UP,2023-05-15,4660061.98,10.69,240,47121.38,61,OPEN,0
HFL202400091,Customer_91,MUM01,TOP_UP,2024-07-18,364269.98,10.54,120,4923.44,15,WRITTEN_OFF,0
HFL202400092,Customer_92,BLR04,LAP,2024-05-25,4683469.38,9.96,180,50214.25,62,OPEN,0
HFL202400093,Customer_93,BLR04,TOP_UP,2024-01-28,1195868.74,11.5,120,16813.37,100,OVERDUE,71
HFL202300094,Customer_94,CHN05,TOP_UP,2023-01-03,1629343.22,9.99,240,15712.72,85,OVERDUE,115
HFL202400095,Customer_95,PUN02,LAP,2024-01-22,2440119.7,10.11,120,32395.18,29,WRITTEN_OFF,0
HFL202500096,Customer_96,HYD06,HOME_LOAN,2025-02-01,2522988.38,13.07,240,29684.62,166,OPEN,0
HFL202300097,Customer_97,MUM01,HOME_LOAN,2023-02-07,893357.47,13.33,180,11497.81,116,OVERDUE,113
HFL202400098,Customer_98,DEL03,LAP,2024-02-24,4393384.97,13.35,60,100751.93,44,OPEN,0
HFL202500099,Customer_99,HYD06,LAP,2025-05-22,1844258.27,11.87,240,20139.97,194,WRITTEN_OFF,0
HFL202300100,Customer_100,HYD06,TOP_UP,2023-02-06,3202059.47,9.67,180,33765.94,25,WRITTEN_OFF,0
HFL202300101,Customer_101,MUM01,LAP,2023-04-13,2385289.19,11.97,60,53023.29,23,OPEN,0
HFL202400102,Customer_102,MUM01,TOP_UP,2024-06-27,2236643.22,11.91,120,31973.07,48,OPEN,0
HFL202400103,Customer_103,BLR04,LAP,2024-05-24,4590296.38,9.22,240,41951.79,2,CLOSED,0
HFL202400104,Customer_104,DEL03,TOP_UP,2024-11-24,2869011.25,8.87,180,28877.97,108,WRITTEN_OFF,0
HFL202500105,Customer_105,BLR04,LAP,2025-05-15,1719971.85,13.5,240,20766.5,147,OPEN,0
HFL202300106,Customer_106,CHN05,TOP_UP,2023-10-30,403116.11,12.65,240,4622.66,199,OPEN,0
HFL202400107,Customer_107,PUN02,HOME_LOAN,2024-09-12,3802309.12,12.66,180,47260.92,90,CLOSED,0
HFL202400108,Customer_108,HYD06,LAP,2024-09-27,1477945.96,12.28,120,21444.14,39,CLOSED,0
HFL202400109,Customer_109,BLR04,TOP_UP,2024-01-09,3742090.91,8.95,180,37843.55,33,OPEN,0
HFL202400110,Customer_110,BLR04,TOP_UP,2024-01-10,2795006.16,13.07,120,41847.92,37,OPEN,0
HFL202500111,Customer_111,PUN02,TOP_UP,2025-04-03,841297.63,13.31,120,12715.77,92,CLOSED,0
HFL202500112,Customer_112,CHN05,TOP_UP,2025-05-16,4081561.93,10.33,240,40284.47,94,OPEN,0
HFL202300113,Customer_113,PUN02,TOP_UP,2023-09-26,3047432.43,12.61,180,37778.7,158,OPEN,0
HFL202400114,Customer_114,HYD06,HOME_LOAN,2024-09-16,1340425.84,8.82,240,11905.42,35,OVERDUE,78
HFL202300115,Customer_115,BLR04,TOP_UP,2023-11-08,4980858.66,9.08,120,63311.26,85,OVERDUE,35
HFL202400116,Customer_116,MUM01,LAP,2024-07-07,2269895.74,12.21,120,32842.56,78,OVERDUE,168
HFL202300117,Customer_117,PUN02,TOP_UP,2023-10-14,453766.55,10.35,240,4484.69,25,OPEN,0
HFL202400118,Customer_118,BLR04,TOP_UP,2024-10-22,1985767.05,10.49,120,26783.83,27,WRITTEN_OFF,0
HFL202300119,Customer_119,PUN02,TOP_UP,2023-01-22,537719.0,10.17,120,7156.71,97,CLOSED,0
HFL202300120,Customer_120,chn05,HOME_LOAN,2023-08-10,4121349.01,9.66,120,53690.95,109,CLOSED,0
HFL202400121,Customer_121,DEL03,TOP_UP,2024-07-07,1478074.72,9.37,60,30948.5,15,OPEN,0
HFL202300122,Customer_122,HYD06,LAP,2023-06-28,1547227.29,9.13,240,14050.43,114,OPEN,0
HFL202300123,Customer_123,HYD06,TOP_UP,2023-04-22,2424425.47,9.61,60,51047.87,29,CLOSED,0
HFL202300124,Customer_124,BLR04,HOME_LOAN,2023-03-04,4993357.75,12.74,240,57578.56,113,CLOSED,0
HFL202300125,Customer_125,CHN05,LAP,2023-11-26,3158997.89,8.83,180,31721.98,83,CLOSED,0
HFL202400126,Customer_126,HYD06,TOP_UP,2024-06-27,1686019.41,11.03,240,17437.33,167,OPEN,0
HFL202400127,Customer_127,DEL03,LAP,2024-07-18,3687947.61,9.58,240,34569.4,102,OVERDUE,106
HFL202300128,Customer_128,HYD06,HOME_LOAN,2023-11-17,2305790.83,11.83,180,27421.68,17,WRITTEN_OFF,0
HFL202300129,Customer_129,MUM01,TOP_UP,31-02-2023,2329819.64,12.22,180,28292.35,143,OVERDUE,143
HFL202300130,Customer_130,DEL03,HOME_LOAN,2023-05-06,2230800.57,12.87,240,25929.19,90,OVERDUE,14
HFL202300131,Customer_131,CHN05,LAP,2023-08-06,1027231.83,10.91,60,22288.43,48,OPEN,0
HFL202500132,Customer_132,HYD06,HOME_LOAN,2025-04-06,2316828.33,11.3,60,50720.78,17,CLOSED,0
HFL202400133,Customer_133,PUN02,HOME_LOAN,2024-12-20,3883324.73,13.11,180,49414.87,102,OPEN,0
HFL202400134,Customer_134,BLR04,LAP,2024-10-10,4867508.5,8.96,120,61554.22,47,OPEN,0
HFL202500135,Customer_135,CHN05,LAP,2025-03-06,4724614.89,11.48,60,103859.17,5,OPEN,0
HFL202400136,Customer_136,CHN05,HOME_LOAN,2024-03-10,2582610.01,10.71,180,28885.29,110,OPEN,0
HFL202400137,Customer_137,BLR04,HOME_LOAN,2024-11-25,3087730.98,11.13,180,35347.53,14,OPEN,0
HFL202300138,Customer_138,MUM01,HOME_LOAN,2023-08-05,3906542.78,12.32,180,47692.32,110,OPEN,0
HFL202400139,Customer_139,HYD06,LAP,2024-06-29,3607254.94,11.0,180,40999.95,4,OPEN,0
HFL202500140,Customer_140,BLR04,HOME_LOAN,2025-06-01,1771384.96,10.65,240,17863.99,103,CLOSED,0
HFL202300141,Customer_141,MUM01,LAP,2023-06-25,4066214.13,11.59,180,47734.01,150,OPEN,0
HFL202400142,Customer_142,PUN02,HOME_LOAN,2024-02-10,4391464.76,12.23,120,63590.03,81,OPEN,0
HFL202300143,Customer_143,PUN02,TOP_UP,2023-07-18,4557836.84,10.25,120,60864.9,22,OPEN,0
HFL202500144,Customer_144,CHN05,TOP_UP,2025-02-16,3380892.35,9.39,240,31271.9,114,OPEN,0
HFL202400145,Customer_145,DEL03,LAP,2024-08-01,3322061.6,13.43,180,42976.41,17,OVERDUE,161
HFL202300146,Customer_146,DEL03,HOME_LOAN,2023-11-07,4042749.49,11.46,180,47124.23,9,OPEN,0
HFL202300147,Customer_147,CHN05,TOP_UP,2023-10-21,660635.71,12.82,60,14970.69,37,CLOSED,0
HFL202500148,Customer_148,BLR04,LAP,2025-01-26,4510620.8,10.75,120,61497.21,7,OPEN,0
HFL202500149,Customer_149,HYD06,TOP_UP,2025-05-07,1914157.55,12.07,120,27540.11,56,OPEN,0
HFL202300150,Customer_150,DEL03,TOP_UP,2023-06-12,2010320.41,13.09,240,23681.44,13,OPEN,0
HFL202300151,Customer_151,HYD06,TOP_UP,2023-03-09,1849546.55,11.29,240,19457.17,232,OPEN,0
HFL202300152,Customer_152,HYD06,HOME_LOAN,2023-12-08,683059.34,11.82,180,8118.93,100,OPEN,0
HFL202300153,Customer_153,HYD06,TOP_UP,2023-03-28,1755034.87,10.38,180,19269.78,175,OVERDUE,172
HFL202400154,Customer_154,PUN02,HOME_LOAN,2024-11-17,2290009.92,10.31,180,25044.67,124,OPEN,0
HFL202300155,Customer_155,CHN05,TOP_UP,2023-05-21,1028242.31,9.98,60,21836.99,56,OPEN,0
HFL202300156,Customer_156,PUN02,TOP_UP,2023-12-11,4419046.03,11.59,240,47400.35,197,OPEN,0
HFL202300157,Customer_157,PUN02,LAP,2023-06-19,3689560.09,8.72,180,36809.92,156,CLOSED,0
HFL202500158,Customer_158,BLR04,LAP,2025-03-13,2409961.43,11.17,180,27649.36,49,WRITTEN_OFF,0
HFL202400159,Customer_159,CHN05,HOME_LOAN,2024-08-07,4926867.03,10.81,180,55412.21,41,CLOSED,0
HFL202300160,Customer_160,MUM01,HOME_LOAN,2023-05-22,4403109.02,8.76,240,38938.85,132,OVERDUE,142
HFL202500161,Customer_161,PUN02,LAP,2025-02-20,1053467.97,10.75,120,14362.84,113,OVERDUE,24
HFL202400162,Customer_162,MUM01,LAP,2024-02-29,550307.37,11.01,120,7583.6,3,OPEN,0
HFL202500163,Customer_163,DEL03,TOP_UP,2025-05-09,3659110.08,10.18,120,48720.87,60,OPEN,0
HFL202500164,Customer_164,DEL03,TOP_UP,31-02-2023,3616020.02,10.74,60,78152.98,9,OVERDUE,5
HFL202400165,Customer_165,MUM01,TOP_UP,2024-09-15,2780526.08,9.06,180,28301.28,107,OPEN,0
HFL202400166,Customer_166,MUM01,HOME_LOAN,2024-04-13,595193.61,12.68,240,6837.91,147,CLOSED,0
HFL202300167,Customer_167,PUN02,TOP_UP,2023-10-26,2317422.8,11.57,120,32674.78,10,CLOSED,0
HFL202300168,Customer_168,BLR04,LAP,2023-03-11,4780997.29,11.22,60,104475.79,24,OPEN,0
HFL202300169,Customer_169,HYD06,TOP_UP,2023-01-17,1978341.22,8.84,120,24889.8,74,CLOSED,0
HFL202300170,Customer_170,BLR04,TOP_UP,2023-05-17,508377.73,11.23,120,7069.25,61,OVERDUE,176
HFL202300171,Customer_171,PUN02,HOME_LOAN,2023-05-19,596572.52,12.38,240,6727.5,51,OPEN,0
HFL202300172,Customer_172,HYD06,HOME_LOAN,2023-11-14,2722302.87,13.45,240,32770.51,91,OPEN,0
HFL202300173,Customer_173,BLR04,LAP,2023-12-06,1584118.05,12.5,240,17997.81,47,OVERDUE,113
HFL202400174,Customer_174,MUM01,HOME_LOAN,2024-01-12,4644259.19,11.1,60,101209.22,52,CLOSED,0
HFL202300175,Customer_175,CHN05,TOP_UP,2023-11-25,782210.17,10.14,180,8472.79,42,OPEN,0
HFL202400176,Customer_176,BLR04,HOME_LOAN,2024-04-02,499069.27,12.85,180,6265.26,14,CLOSED,0
HFL202400177,Customer_177,PUN02,LAP,2024-02-20,2007562.31,12.51,120,29397.65,86,WRITTEN_OFF,0
HFL202300178,Customer_178,CHN05,TOP_UP,2023-03-10,1409178.29,11.73,180,16668.5,39,OPEN,0
HFL202400179,Customer_179,BLR04,HOME_LOAN,2024-01-15,2048462.88,12.32,120,29769.67,35,OPEN,0
HFL202300180,Customer_180,DEL03,LAP,2023-01-27,3757671.84,11.0,240,38786.25,180,OVERDUE,31
HFL202400181,Customer_181,PUN02,HOME_LOAN,2024-09-18,1642211.33,13.08,240,19333.42,115,OPEN,0
HFL202400182,Customer_182,HYD06,LAP,2024-03-31,4987133.3,12.55,180,61629.89,138,CLOSED,0
HFL202500183,Customer_183,CHN05,HOME_LOAN,2025-05-21,1040274.67,12.05,120,14955.0,25,CLOSED,0
HFL202400184,Customer_184,CHN05,HOME_LOAN,2024-05-20,423534.93,11.27,180,4885.94,22,OPEN,0
HFL202500185,Customer_185,PUN02,HOME_LOAN,2025-01-04,3678687.4,11.13,240,38296.98,164,OVERDUE,19
HFL202400186,Customer_186,PUN02,HOME_LOAN,2024-11-27,2731592.06,9.14,120,34809.96,116,CLOSED,0
HFL202400187,Customer_187,DEL03,LAP,2024-06-14,1019172.69,9.32,180,10532.04,132,OVERDUE,58
HFL202300188,Customer_188,DEL03,TOP_UP,2023-09-14,1222619.02,13.28,180,15695.03,23,OPEN,0
HFL202400189,Customer_189,MUM01,HOME_LOAN,2024-08-29,4725552.84,9.27,180,48691.67,7,OVERDUE,145
HFL202400190,Customer_190,BLR04,LAP,2024-10-18,3923805.13,9.82,120,51463.06,3,CLOSED,0
HFL202400191,Customer_191,HYD06,HOME_LOAN,2024-07-12,1661456.79,13.28,240,19797.58,116,OPEN,0
HFL202300192,Customer_192,PUN02,LAP,2023-06-11,2366145.85,10.92,120,32486.6,91,OPEN,0
HFL202500193,Customer_193,MUM01,HOME_LOAN,2025-05-31,1923241.64,10.49,180,21247.57,119,OPEN,0
HFL202300194,Customer_194,PUN02,HOME_LOAN,2023-09-11,962124.88,8.75,240,8502.4,230,OVERDUE,108
HFL202400195,Customer_195,CHN05,LAP,2024-08-14,3689303.62,9.45,120,47637.75,112,OPEN,0
HFL202300196,Customer_196,DEL03,LAP,2023-04-03,4742594.18,11.03,120,65409.8,36,OPEN,0
HFL202500197,Customer_197,PUN02,LAP,2025-05-13,3375022.17,10.85,60,73128.94,46,OVERDUE,111
HFL202400198,Customer_198,DEL03,LAP,2024-01-10,512639.25,8.76,120,6427.5,64,OPEN,0
HFL202300199,Customer_199,MUM01,LAP,2023-10-14,4178963.19,11.62,60,92158.25,50,OPEN,0
HFL202400200,Customer_200,MUM01,LAP,2024-01-10,3848336.31,9.5,240,35871.54,182,OPEN,0
HFL202400201,Customer_201,CHN05,TOP_UP,2024-06-15,2447846.23,11.53,120,34457.63,50,OPEN,0
HFL202300202,Customer_202,DEL03,LAP,2023-11-03,3090505.88,11.04,240,31984.02,4,CLOSED,0
HFL202300203,Customer_203,DEL03,TOP_UP,2023-04-23,4905520.75,11.42,60,107688.28,50,CLOSED,0
HFL202500204,Customer_204,HYD06,TOP_UP,2025-01-08,541369.28,10.9,240,5551.15,146,OPEN,0
HFL202300205,Customer_205,BLR04,LAP,2023-01-20,2372881.26,10.59,240,23834.0,156,CLOSED,0
HFL202500206,Customer_206,HYD06,LAP,2025-01-23,3718789.87,12.03,120,53418.34,48,CLOSED,0
HFL202400207,Customer_207,HYD06,LAP,2024-04-15,4586983.56,10.21,180,49882.93,177,CLOSED,0
HFL202300208,Customer_208,DEL03,HOME_LOAN,2023-07-16,4799485.76,9.9,180,51282.3,180,OPEN,0
HFL202400209,Customer_209,CHN05,LAP,2024-05-15,1790091.5,10.24,180,19500.1,97,OPEN,0
HFL202500210,Customer_210,MUM01,TOP_UP,2025-03-02,4081694.42,9.95,180,43737.33,113,WRITTEN_OFF,0
HFL202400211,Customer_211,DEL03,TOP_UP,2024-05-05,1305738.0,12.64,180,16212.66,157,OVERDUE,179
HFL202300212,Customer_212,MUM01,TOP_UP,2023-09-06,538597.52,13.03,120,8051.37,42,CLOSED,0
HFL202400213,Customer_213,BLR04,LAP,2024-11-28,3922600.47,8.53,120,48697.59,25,OPEN,0
HFL202400214,Customer_214,HYD06,HOME_LOAN,2024-10-23,578064.16,12.34,120,8407.56,4,OPEN,0
HFL202500215,Customer_215,PUN02,LAP,2025-05-07,1126206.93,13.1,240,13274.68,223,CLOSED,0
HFL202300216,Customer_216,HYD06,HOME_LOAN,2023-01-10,1702443.39,11.51,180,19898.59,126,OPEN,0
HFL202400217,Customer_217,BLR04,HOME_LOAN,2024-04-24,1582334.28,12.54,180,19543.83,47,OPEN,0
HFL202500218,Customer_218,HYD06,LAP,2025-03-20,1686614.01,11.87,120,24071.43,105,OPEN,0
HFL202300219,Customer_219,pun02,HOME_LOAN,2023-03-30,2183916.26,8.98,120,27641.3,49,OPEN,0
HFL202300220,Customer_220,DEL03,TOP_UP,2023-10-01,4783963.67,10.01,60,101668.63,3,OPEN,0
HFL202300221,Customer_221,HYD06,LAP,2023-11-11,1050669.08,11.93,180,12562.52,75,CLOSED,0
HFL202300222,Customer_222,CHN05,TOP_UP,2023-08-13,4799594.52,10.89,240,49182.06,179,CLOSED,0
HFL202500223,Customer_223,HYD06,HOME_LOAN,2025-02-14,2826333.13,11.82,120,40256.12,111,CLOSED,0
HFL202400224,Customer_224,CHN05,TOP_UP,2024-06-24,3607700.79,8.89,60,74697.48,12,OPEN,0
HFL202300225,Customer_225,HYD06,TOP_UP,2023-06-18,1842152.9,11.1,60,40144.8,5,CLOSED,0
HFL202300226,Customer_226,CHN05,LAP,2023-02-26,2431131.81,11.07,240,25209.78,206,CLOSED,0
HFL202400227,Customer_227,MUM01,HOME_LOAN,2024-02-10,1495948.93,8.52,120,18563.63,89,CLOSED,0
HFL202300228,Customer_228,BLR04,TOP_UP,2023-03-03,4692539.15,8.85,240,41768.37,34,OPEN,0
HFL202400229,Customer_229,BLR04,TOP_UP,2024-10-23,4829778.06,10.37,240,47798.51,174,OPEN,0
HFL202300230,Customer_230,BLR04,HOME_LOAN,2023-05-17,3371610.26,10.24,120,45005.37,93,WRITTEN_OFF,0
HFL202500231,Customer_231,PUN02,HOME_LOAN,2025-02-13,406856.04,9.99,240,3923.55,88,OPEN,0
HFL202500232,Customer_232,MUM01,HOME_LOAN,2025-06-15,3707612.55,9.06,240,33501.56,17,CLOSED,0
HFL202400233,Customer_233,MUM01,TOP_UP,2024-04-02,3109589.01,12.02,60,69202.52,14,OPEN,0
HFL202500234,Customer_234,HYD06,TOP_UP,2025-06-03,3947499.02,9.2,180,40509.18,147,OPEN,0
HFL202500235,Customer_235,CHN05,LAP,2025-04-18,1807126.04,10.01,120,23891.31,38,WRITTEN_OFF,0
HFL202400236,Customer_236,MUM01,TOP_UP,2024-08-28,4434655.29,13.06,240,52145.01,164,CLOSED,0
